line,raw,expected,match_score_best,match_1_title,match_1_price,match_1_score,match_1_sku,match_1_stock,match_2_title,match_2_price,match_2_score,match_2_sku,match_2_stock,match_3_title,match_3_price,match_3_score,match_3_sku,match_3_stock
37,OILSunflower oil 1 L1L,Sunflower Oil 1 L,0.9045,"Ama Sunflower Oil, Ukraine, 1L",8.99,0.9045,6299200001274,20,"Fiorentini Blend of Sunflower Oil and Olive Oil, Italy, 1L",14.99,0.8056,8020927003023,20,,,,,
38,CLEANING TOOLS & DISPOSABLESGarbage bags 30gal20bag,Garbage Bags 30 gal 20 Pack,,,,,,,,,,,,,,,,
39,MILK & YOGURTLow Fat Yoghurt 1kg1kg,Low Fat Yoghurt 1 kg,,,,,,,,,,,,,,,,
40,CLEANING TOOLS & DISPOSABLESGarbage bags 10gal30bag,Garbage Bags 10 gal 30 Pack,,,,,,,,,,,,,,,,
41,MILK & YOGURTFull cream milk 1L1L,Full Cream Milk 1 L,0.8791,"Frischli Long Life Full Cream Milk, 1L",4.99,0.8791,4045500034052,20,"Milba Full Fat Fresh Milk, UAE, 1L",5.49,0.6433,6299200051507,20,,,,,
42,CHEESE & BUTTERButter salted200g,Butter Salted 200 g,0.902,"Milba Butter Salted, Germany, 200g",10.99,0.902,6299200031912,20,"Milba Butter Unsalted, Germany, 200g",10.99,0.8923,6299200031905,20,"Ferma Ferma Butter Salted, Ukraine, 200g",10.99,0.875,4820200487359,20
43,CLEANING TOOLS & DISPOSABLESSoft facial tissue1 x 5pack,Soft Facial Tissue 5 Pack,,,,,,,,,,,,,,,,
44,CABBAGE & GOURDSCauliflower1kg,Cauliflower 1 kg,,,,,,,,,,,,,,,,
45,SAUCES & SEASONINGTomato ketchup500ml,Tomato Ketchup 500 ml,0.9192,"Ama Tomato Ketchup, Belgium, 500ml",7.99,0.9192,6299200002844,20,,,,,,,,,,
46,FLOURChakki atta5kg,Chakki Atta 5 kg,0.8886,"Eatistaan Chakki Atta, UAE, 5kg",14.99,0.8886,6299200053136,20,,,,,,,,,,
47,BREADLarge brown bread600g,Large Brown Bread 600 g,0.6522,"Cottage Loaf Arabic Bread White Large, UAE, 600g",1.99,0.6522,6299200035811,20,,,,,,,,,,
48,PASTA & INSTANT FOODFusilli500g,Fusilli 500 g,0.8711,"Finosta Fusilli, India, 500g",2.49,0.8711,8908007958015,20,"Arbella Pasta Fusilli Rotini, Turkey, 500g",3.29,0.8115,8697430885479,20,,,,,
49,CLEANING TOOLS & DISPOSABLESFacial Tissue 5x2005 x 200pack,Facial Tissue 5 x 200 Pack,,,,,,,,,,,,,,,,
