line,raw,expected,match_score_best,match_1_title,match_1_price,match_1_score,match_1_sku,match_1_stock,match_2_title,match_2_price,match_2_score,match_2_sku,match_2_stock,match_3_title,match_3_price,match_3_score,match_3_sku,match_3_stock
23,MILK LONGLIFEMilk Full Fat UHT1L,Milk Full Fat UHT 1 L,0.8359,"Almarai Full Fat Fresh Milk Bottle, 1L",6.65,0.6963,7549_EA,20,"LuLu UHT Long Life Full Fat Milk, 4x1L",18.8,0.8219,2226395_CH1,20,"Almarai Uht Full Fat Milk with Vitamins, 4x1L",20.5,0.8359,943568_CH1,20
24,CLEANING TOOLS & DISPOSABLESKitchen roll 3+11 x 4pack,Kitchen Roll 4 Pack,0.5974,"Glad Kitchen Tidy Roll - Medium, 55cmx61cm, 30 Pieces",16,0.59,821679_EA,20,"Kleenex Multipurpose 2Ply Kitchen Towel Rolls, 4x90 Pieces",24.9,0.5827,532049_EA,20,"Little Duck Max 3Ply All Kitchen Roll, 3 Pieces",25.5,0.5974,1475123_EA,20
25,PROTEINSWhole chicken 700g700g,Whole Chicken 700 g,0.6433,LuLu Frozen Chicken Griller 700g,10.75,0.6433,742441_EA,20,,,,,,,,,,
26,CLEANING TOOLS & DISPOSABLESFacial tissue 5's1 x 5pack,Facial Tissue 5 Pack,0.6487,Fine Facial Tissues 2 Ply 200 Sheets,5.7,0.6242,11114_EA,20,Alokozay Facial Tissue 100Ply 6'S,18.1,0.6353,884179_CH1,20,"Home Mate Facial Tissue, 500 Pulls",26.25,0.6487,1245907_CH1,20
27,BREADLarge white bread600g,Large White Bread 600 g,0.7097,"L'usine Long Life Sliced White Bread, 600g",4.6,0.7097,1265044_EA,20,,,,,,,,,,
28,ONION & GARLICOnion Pink1kg,Onion Pink 1 kg,0.723,Onion India 1kg,2.95,0.723,18652_KG,2,Small Onion - India 1kg,10.95,0.6733,40381_KG,2,,,,,
29,FROZEN VEGETABLESFrench fries1kg,French Fries 1 kg,0.9527,"Lulu French Fries, 1kg",9.75,0.9527,481769_EA,20,"Al Kabeer French Fries, 1kg",11.5,0.9167,294958_EA,20,"Al Ain French Fries, 1kg",11.75,0.9372,338221_EA,20
30,POTATO & ROOTCarrot1kg,Carrot 1 kg,0.8758,Carrots - Australia 1kg,8.95,0.8758,18892_KG,2,,,,,,,,,,
31,PASTA & INSTANT FOODElbow500g,Elbow 500 g,0.79,"Barilla Pasta Chifferi Elbows No.41, 500g",10.5,0.79,1148829_EA,20,,,,,,,,,,
32,PASTA & INSTANT FOODPenne rigate500g,Penne Rigate 500 g,0.9333,"Panzani Penne Rigate, 500g",10.75,0.9333,179401_EA,20,"Barilla Penne Rigate Pasta, 500g",14.5,0.8979,15692_EA,20,"Barilla Whole Wheat Penne Rigate Pasta, 500g",19.4,0.8483,449822_EA,20
33,COFFEECoffee gold100g,Coffee Gold 100 g,0.825,Le Cafe Gold Instant Coffee 100G,14.9,0.8104,2234120_EA,20,Mrsns Decaf Gold Coffee 100g,25.95,0.825,1776750_EA,20,"Nescafe Gold Origins Colombia Premium Instant Soluble Coffee, 100g",34.3,0.7451,1683097_EA,20
34,PASTA & INSTANT FOODSpaghetti500g,Spaghetti 500 g,0.9222,"Morrisons Spaghetti, 500g",8.75,0.9079,1776914_EA,20,"Panzani Spaghetti, 500g",9.25,0.9222,132368_EA,20,"Barilla Spaghetti No.7, 500g",10.25,0.889,15690_EA,20
35,OILCow ghee1kg,Cow Ghee 1 kg,0.5762,"Madhoor Pure Cow Ghee Batti, 10 Pieces",8.5,0.5762,2284881_EA,20,"LuLu Pure Cow Ghee, 1L",42.95,0.568,2331447_EA,20,"LuLu Pure Cow Ghee, 1L",44.9,0.568,1425195_EA,20
36,FRESH JUICESFresh Pomegranate Juice 1 L1L,Fresh Pomegranate Juice 1 L,0.7035,Rubicon Pomegranate Juice 1 Ltr,12.95,0.7035,1205737_EA,20,"The Berry Company Pomegranate Juice, 1L",18.1,0.674,738773_EA,20,"Barakat Fresh Orange Juice, 1L",19.1,0.6879,1528006_EA,20
37,OILSunflower oil 1 L1L,Sunflower Oil 1 L,0.825,"Boveda Sunflower & Extra Virgin Olive Oil Blend, 1L",17.9,0.825,2527929_EA,20,,,,,,,,,,
38,CLEANING TOOLS & DISPOSABLESGarbage bags 30gal20bag,Garbage Bags 30 gal 20 Pack,0.5518,LuLu Garbage Bags 30 Gallons 60cm x 90cm 20pcs,10.9,0.5518,1000461_EA,20,,,,,,,,,,
39,MILK & YOGURTLow Fat Yoghurt 1kg1kg,Low Fat Yoghurt 1 kg,0.9214,"Al Rawabi Low Fat Fresh Yoghurt, 1kg",5.35,0.8963,581233_EA,20,"Lulu Low Fat Fresh Yoghurt, 1kg",5.75,0.9214,1943158_EA,20,"Al Ain Low Fat Fresh Yoghurt, 1kg",6.95,0.9108,783530_EA,20
40,CLEANING TOOLS & DISPOSABLESGarbage bags 10gal30bag,Garbage Bags 10 gal 30 Pack,0.7175,Home Mate Lemon Scented Garbage Bags 10Gallons 54cm x 60cm 30pcs,4.75,0.6684,1412334_EA,20,LuLu Garbage Bags 10Gallon Size 54x60cm 30pcs,9.9,0.7175,1000464_EA,20,,,,,
41,MILK & YOGURTFull cream milk 1L1L,Full Cream Milk 1 L,0.9071,"Al Rawabi Full Cream Fresh Milk, 1L",5.65,0.8923,7565_EA,20,Hayatna Fresh Full Cream Milk 1L,5.95,0.902,1986034_EA,20,"Al Ain Farms Full Cream Milk, 1L",6.65,0.9071,12702_EA,20
42,CHEESE & BUTTERButter salted200g,Butter Salted 200 g,0.8779,"Lurpak Salted Butter, 200g",14.25,0.8779,6238_EA,20,"Kerrygold Pure Irish Butter Salted, 200g",14.95,0.8711,68645_EA,20,"Kerryold Pure irish Butter Unsalted, 200g",14.95,0.8672,566342_EA,20
43,CLEANING TOOLS & DISPOSABLESSoft facial tissue1 x 5pack,Soft Facial Tissue 5 Pack,0.6985,"LuLu Softouch White Facial Tissues 2Ply, 100 Pieces",2.9,0.6861,1559705_EA,20,"Gentle Soft Facial Tissue 2ply, 5x200 Sheets",16.7,0.6965,200519_CH1,20,LuLu Softouch White Facial Tissue 2ply 5 x 200pcs,18.85,0.6985,986161_EA,20
44,CABBAGE & GOURDSCauliflower1kg,Cauliflower 1 kg,1.0,Cauliflower 1kg,8.95,1.0,18561_KG,20,,,,,,,,,,
45,SAUCES & SEASONINGTomato ketchup500ml,Tomato Ketchup 500 ml,0.6978,Lulu Tomato Ketchup 340gm,3.5,0.6978,339613_EA,20,,,,,,,,,,
46,FLOURChakki atta5kg,Chakki Atta 5 kg,0.9061,"Lulu Chakki Fresh Atta, 5kg",17.9,0.9061,632245_EA,20,"Jenan Chakki Fresh Atta, 5kg",19.95,0.9,1918415_EA,20,Fortune Chakki Fresh Atta 5Kg,25.95,0.8886,1746172_EA,20
47,BREADLarge brown bread600g,Large Brown Bread 600 g,0.7384,"L'usine Sliced Brown Bread, 600g",5.1,0.7384,614319_EA,20,"L'usine Multigrain Sliced Brown Bread, 600g",6.95,0.7063,832278_EA,20,Baker Street Medium Brown Sliced Bread 600g,24.5,0.7029,968954_EA,20
48,PASTA & INSTANT FOODFusilli500g,Fusilli 500 g,0.9125,"Panzani Fusilli, 500g",10.9,0.9125,138893_EA,20,"Barilla Pasta Fusilli No.98, 500g",14.5,0.8409,15693_EA,20,"De Cecco Fusilli Pasta No.34, 500g",15.5,0.8367,613040_EA,20
49,CLEANING TOOLS & DISPOSABLESFacial Tissue 5x2005 x 200pack,Facial Tissue 5 x 200 Pack,0.6514,Fine Facial Tissues 2 Ply 200 Sheets,5.7,0.6514,11114_EA,20,LuLu Softouch White Facial Tissue 2ply 5 x 200pcs,18.85,0.6509,986161_EA,20,"Home Mate Facial Tissue, 500 Pulls",26.25,0.6506,1245907_CH1,20
